episode_hash,split,canonical_task,task,task_description,num_frames,local_mp4_path,zarr_processed_path
2026-04-09-10-13-40-246515,train,fold_clothes,fold_shirt,Fold a white shirt on an ironing board by bringing one side over and smoothing the fabric flat.,152.0,artifacts/foldclothes-v1/smoke_mp4s/2026-04-09-10-13-40-246515.mp4,s3://rldb/processed_v3/microagi/2026-04-09-10-13-40-246515.zarr
2026-05-20-07-27-54-641482,train,fold_clothes,fold_shirt,Fold a patterned shirt on a bed into a compact rectangular shape by bringing in the sides and sleeves.,411.0,artifacts/foldclothes-v1/smoke_mp4s/2026-05-20-07-27-54-641482.mp4,s3://rldb/processed_v3/microagi/2026-05-20-07-27-54-641482.zarr
2026-04-07-09-46-38-426556,train,fold_clothes,fold_white_shirt,Press and smooth a white shirt flat on a table using both hands.,762.0,artifacts/foldclothes-v1/smoke_mp4s/2026-04-07-09-46-38-426556.mp4,s3://rldb/processed_v3/microagi/2026-04-07-09-46-38-426556.zarr
2026-04-10-20-33-28-456857,train,fold_clothes,fold_white_shirt,Fold a white shirt on a flat surface into a compact rectangular shape and place it with other folded clothes.,201.0,artifacts/foldclothes-v1/smoke_mp4s/2026-04-10-20-33-28-456857.mp4,s3://rldb/processed_v3/microagi/2026-04-10-20-33-28-456857.zarr
2026-05-25-06-38-31-620479,train,fold_clothes,fold_white_shirt,Fold a white shirt on a flat surface into a compact rectangular shape.,464.0,artifacts/foldclothes-v1/smoke_mp4s/2026-05-25-06-38-31-620479.mp4,s3://rldb/processed_v3/microagi/2026-05-25-06-38-31-620479.zarr
2026-05-25-07-17-02-948101,train,fold_clothes,fold_white_shirt,Fold a white shirt into a compact rectangular shape on a flat surface.,410.0,artifacts/foldclothes-v1/smoke_mp4s/2026-05-25-07-17-02-948101.mp4,s3://rldb/processed_v3/microagi/2026-05-25-07-17-02-948101.zarr
2026-04-08-13-17-32-861101,val,fold_clothes,fold_black_t-shirt,Fold a black t-shirt on a table by bringing the sides and bottom together into a compact folded rectangle.,511.0,artifacts/foldclothes-v1/smoke_mp4s/2026-04-08-13-17-32-861101.mp4,s3://rldb/processed_v3/microagi/2026-04-08-13-17-32-861101.zarr
2026-04-01-10-36-40-877065,val,fold_clothes,fold_blue_jeans,Fold a pair of blue jeans in half lengthwise on a bed.,1253.0,artifacts/foldclothes-v1/smoke_mp4s/2026-04-01-10-36-40-877065.mp4,s3://rldb/processed_v3/microagi/2026-04-01-10-36-40-877065.zarr
2026-06-08-21-17-22-338830,val,fold_clothes,fold_clothes,Fold a black t-shirt in half on a table.,159.0,artifacts/foldclothes-v1/smoke_mp4s/2026-06-08-21-17-22-338830.mp4,s3://rldb/processed_v3/microagi/2026-06-08-21-17-22-338830.zarr
2026-06-18-16-14-41-695450,val,fold_clothes,fold_laundry,Fold a pair of blue jeans on a table into a compact rectangle.,468.0,artifacts/foldclothes-v1/smoke_mp4s/2026-06-18-16-14-41-695450.mp4,s3://rldb/processed_v3/microagi/2026-06-18-16-14-41-695450.zarr
2026-04-08-18-03-38-793824,val,fold_clothes,fold_shirt,Fold a patterned shirt on a flat surface by bringing the sleeves and sides inward to form a compact folded rectangle.,436.0,artifacts/foldclothes-v1/smoke_mp4s/2026-04-08-18-03-38-793824.mp4,s3://rldb/processed_v3/microagi/2026-04-08-18-03-38-793824.zarr
2026-04-01-14-01-43-774948,val,fold_clothes,fold_white_shirt,Fold a white shirt on a bed by grasping and folding the fabric with both hands.,180.0,artifacts/foldclothes-v1/smoke_mp4s/2026-04-01-14-01-43-774948.mp4,s3://rldb/processed_v3/microagi/2026-04-01-14-01-43-774948.zarr
