episode,scene,task_description,start,end,frames,verb,object,hand,grip,grasp_loc,angle,source,relation,ref_object,ref_direction,orientation,flip,sub_position,text
2026-03-03-05-27-14-876000,pick_place_div_scene,pick place play data with large task variations,153,261,108,place,blue stuffed toy,right,-,-,-,-,right,pink plate,right,forwards,none,none,Put the blue stuffed toy to the right of the pink plate with the right hand facing forwards.
2026-03-03-05-27-14-876000,pick_place_div_scene,pick place play data with large task variations,642,804,162,place,white coffee cup,right,-,-,-,-,corner,green bowl,corner,bottom_right,up,none,Put the white coffee cup to the bottom right of the green bowl with the right hand right side up with the front facing bottom right.
2026-03-03-05-27-14-876000,pick_place_div_scene,pick place play data with large task variations,804,1032,228,pick,yellow stuffed toy,left,plain,entire,diagonal,pink plate,-,-,-,-,-,-,Pick up the yellow stuffed toy from the pink plate with the left hand at a diagonal angle grasping the entire object.
2026-03-03-05-27-14-876000,pick_place_div_scene,pick place play data with large task variations,1032,1137,105,place,yellow stuffed toy,left,-,-,-,-,left,pink plate,left,top_left,none,none,Put the yellow stuffed toy to the left of the pink plate with the left hand facing top left.
2026-03-03-05-27-14-876000,pick_place_div_scene,pick place play data with large task variations,1137,1365,228,pick,green bowl,right,side,right,diagonal,table,-,-,-,-,-,-,Pick up the green bowl from the table with the right hand using a side grip at the right side diagonally.
2026-03-03-05-27-14-876000,pick_place_div_scene,pick place play data with large task variations,1365,1428,63,dump,brown stuffed toy,right,-,-,-,-,left,white coffee cup,left,none,none,none,Dump the brown stuffed toy to the left of the white coffee cup with the right hand.
2026-03-03-05-27-14-876000,pick_place_div_scene,pick place play data with large task variations,1428,1659,231,place,green bowl,right,-,-,-,-,corner,table,none,none,none,top_right,Put the green bowl on the top right side of the table with the right hand.
2026-03-03-05-27-14-876000,pick_place_div_scene,pick place play data with large task variations,1899,2028,129,pick,yellow stuffed toy,left,side,bottom,diagonal,table,-,-,-,-,-,-,Pick up the yellow stuffed toy from the table with the left hand using a side grip at the bottom from a diagonal angle.
2026-03-03-05-27-14-876000,pick_place_div_scene,pick place play data with large task variations,2027,2121,94,place,yellow stuffed toy,left,-,-,-,-,inside,green bowl,inside,top_right,none,none,Place the yellow stuffed toy inside the green bowl with the left hand facing top right.
2026-03-03-05-27-14-876000,pick_place_div_scene,pick place play data with large task variations,2121,2226,105,return,-,left,-,-,-,-,-,-,-,-,-,-,Return to home with the left hand.
2026-03-03-05-27-14-876000,pick_place_div_scene,pick place play data with large task variations,2226,2331,105,pick,blue stuffed toy,right,side,top,diagonal,table,-,-,-,-,-,-,Pick up the blue stuffed toy from the table with the right hand using a side grip at the top from a diagonal angle.
2026-03-03-05-27-14-876000,pick_place_div_scene,pick place play data with large task variations,2331,2400,69,place,blue stuffed toy,right,-,-,-,-,inside,green bowl,inside,backwards,none,none,Put the blue stuffed toy inside the green bowl with the right hand facing backwards.
2026-03-03-05-27-14-876000,pick_place_div_scene,pick place play data with large task variations,2400,2613,213,pick,brown stuffed toy,right,side,top,diagonal,table,-,-,-,-,-,-,Pick up the brown stuffed toy from the table with the right hand using a side grip at the top with a diagonal angle.
2026-03-03-05-27-14-876000,pick_place_div_scene,pick place play data with large task variations,2613,2754,141,place,brown stuffed toy,right,-,-,-,-,inside,green bowl,inside,backwards,none,none,Put the brown stuffed toy into the green bowl with the right hand facing backwards.
2026-03-03-05-27-14-876000,pick_place_div_scene,pick place play data with large task variations,2754,3000,246,return,-,right,-,-,-,-,-,-,-,-,-,-,Return to home with the right hand.
2026-03-03-05-29-34-981000,pick_place_div_scene,pick place play data with large task variations,0,210,210,pick,pink plate,right,lip,bottom,diagonal,table,-,-,-,-,-,-,Pick up the pink plate from the table with the right hand using a diagonal lip grasp at the bottom right.
2026-03-03-05-29-34-981000,pick_place_div_scene,pick place play data with large task variations,210,363,153,place,pink plate,right,-,-,-,-,left,green bowl,left,none,up,none,Place the pink plate to the left side of the green bowl with the right hand right side up with the front as the orientation reference point.
2026-03-03-05-29-34-981000,pick_place_div_scene,pick place play data with large task variations,654,813,159,pick,green bowl,right,lip,right,diagonal,table,-,-,-,-,-,-,Pick up the green bowl from the table with the right hand using a lip grasp from the right at a diagonal angle.
2026-03-03-05-29-34-981000,pick_place_div_scene,pick place play data with large task variations,813,906,93,dump,stuffed toys,right,-,-,-,-,between,pink plate and white mug,between,none,none,none,Dump the stuffed toys between the pink plate and white mug with the right hand.
2026-03-03-05-29-34-981000,pick_place_div_scene,pick place play data with large task variations,906,1044,138,place,green bowl,right,-,-,-,-,front,pink plate,front,none,none,none,Put the green bowl in front of the pink plate with the right hand.
2026-03-03-05-29-34-981000,pick_place_div_scene,pick place play data with large task variations,1044,1236,192,pick,brown stuffed toy,right,plain,middle,diagonal,table,-,-,-,-,-,-,Pick up the brown stuffed toy from the table with the right hand at a diagonal angle grasping the middle.
2026-03-03-05-29-34-981000,pick_place_div_scene,pick place play data with large task variations,1236,1359,123,place,brown stuffed toy,right,-,-,-,-,on_top,pink plate,on_top,top_right,none,none,Place the brown stuffed toy on top of the pink plate with the right hand facing top right.
2026-03-03-05-29-34-981000,pick_place_div_scene,pick place play data with large task variations,1359,1620,261,pick,yellow stuffed toy,left,side,top,diagonal,table,-,-,-,-,-,-,Pick up the yellow stuffed toy from the table with the left hand using a side grip at the top diagonally.
2026-03-03-05-29-34-981000,pick_place_div_scene,pick place play data with large task variations,1620,1755,135,place,yellow stuffed toy,left,-,-,-,-,left,pink plate,left,bottom_right,none,none,Place the yellow stuffed toy to the left side of the pink plate with the left hand facing bottom right.
2026-03-03-05-29-34-981000,pick_place_div_scene,pick place play data with large task variations,1755,1812,57,return,-,left,-,-,-,-,-,-,-,-,-,-,Return to home with the left hand.
2026-03-03-05-29-34-981000,pick_place_div_scene,pick place play data with large task variations,1812,1953,141,pick,blue stuffed toy,right,plain,entire,diagonal,table,-,-,-,-,-,-,Pick up the blue stuffed toy from the table with the right hand at a diagonal angle grasping the entire object.
2026-03-03-05-29-34-981000,pick_place_div_scene,pick place play data with large task variations,1952,2073,121,place,blue stuffed toy,right,-,-,-,-,front,white mug,front,top_right,none,none,Put the blue stuffed toy in front of the white mug with the right hand facing top right.
2026-03-03-05-29-34-981000,pick_place_div_scene,pick place play data with large task variations,2073,2334,261,pick,white mug,right,lip,right,diagonal,table,-,-,-,-,-,-,Pick up the white mug from the table with the right hand using a diagonal lip grasp on the right side.
2026-03-03-05-29-34-981000,pick_place_div_scene,pick place play data with large task variations,2334,2442,108,place,white mug,right,-,-,-,-,between,green bowl and blue stuffed toy,between,top_right,none,none,Put the white mug between the green bowl and blue stuffed toy with the front facing top right using the right arm.
2026-03-03-05-29-34-981000,pick_place_div_scene,pick place play data with large task variations,2442,2658,216,pick,blue stuffed toy,right,side,bottom,diagonal,table,-,-,-,-,-,-,Pick up the blue stuffed toy from the table with the right hand using a side grip at the bottom from a diagonal angle.
2026-03-03-05-29-34-981000,pick_place_div_scene,pick place play data with large task variations,2658,2793,135,place,stuffed toy,right,-,-,-,-,inside,green bowl,inside,top_right,none,none,Put the stuffed toy inside the green bowl with the right hand facing top right.
2026-03-03-05-29-34-981000,pick_place_div_scene,pick place play data with large task variations,2793,3000,207,return,-,right,-,-,-,-,-,-,-,-,-,-,Return to home with the right hand.
2026-03-03-05-32-38-565000,pick_place_div_scene,pick place play data with large task variations,0,264,264,pick,white canister,right,plain,middle,diagonal,table,-,-,-,-,-,-,Pick up the white canister from the table with the right hand at a diagonal angle grasping the middle.
2026-03-03-05-32-38-565000,pick_place_div_scene,pick place play data with large task variations,264,420,156,place,white canister,right,-,-,-,-,inside,beige bowl,inside,top_left,none,none,Put the white canister inside the beige bowl with the right hand facing top left with the front as the reference point.
2026-03-03-05-32-38-565000,pick_place_div_scene,pick place play data with large task variations,711,849,138,pick,green bag of chips,left,side,bottom,diagonal,table,-,-,-,-,-,-,Pick up the green bag of chips from the table with the left hand using a side grip at the bottom diagonally.
2026-03-03-05-32-38-565000,pick_place_div_scene,pick place play data with large task variations,849,1029,180,place,green bag of chips,left,-,-,-,-,on_top,purple plate,on_top,forwards,none,none,Place the green bag of chips on top of the purple plate with the left hand facing forwards.
2026-03-03-05-32-38-565000,pick_place_div_scene,pick place play data with large task variations,1029,1272,243,pick,blue screwdriver,right,side,top,diagonal,table,-,-,-,-,-,-,Pick up the blue screwdriver from the table with the right hand using a side grip at the top from a diagonal angle.
2026-03-03-05-32-38-565000,pick_place_div_scene,pick place play data with large task variations,1272,1392,120,place,blue screwdriver,right,-,-,-,-,front,cabbage,front,backwards,none,none,Put the blue screwdriver in front of the cabbage with the right hand facing backwards with the tip as the reference point.
2026-03-03-05-32-38-565000,pick_place_div_scene,pick place play data with large task variations,1392,1677,285,pick,beige bowl,left,lip,right,diagonal,table,-,-,-,-,-,-,Pick up the beige bowl from the table with the left hand using a lip grip at the right side with a diagonal angle.
2026-03-03-05-32-38-565000,pick_place_div_scene,pick place play data with large task variations,1677,1755,78,dump,white canister,left,-,-,-,-,between,purple plate and the blue screwdriver,between,none,none,none,Dump the white canister between the purple plate and the blue screwdriver with the left hand.
2026-03-03-05-32-38-565000,pick_place_div_scene,pick place play data with large task variations,1755,1908,153,place,beige bowl,left,-,-,-,-,behind,green bag of chips,behind,none,none,none,Place the beige bowl behind the green bag of chips with the left hand.
2026-03-03-05-32-38-565000,pick_place_div_scene,pick place play data with large task variations,1908,2112,204,pick,blue screwdriver,right,plain,middle,diagonal,table,-,-,-,-,-,-,Pick up the blue screwdriver from the table with the right hand at a diagonal angle grasping the middle.
2026-03-03-05-32-38-565000,pick_place_div_scene,pick place play data with large task variations,2112,2400,288,place,blue screwdriver,right,-,-,-,-,left,cabbage,left,bottom_right,none,none,Place the blue screwdriver to the left of the cabbage with the right hand with its tip facing bottom right.
2026-03-03-05-32-38-565000,pick_place_div_scene,pick place play data with large task variations,2400,2619,219,return,-,right,-,-,-,-,-,-,-,-,-,-,Return to home with the right hand.
2026-03-03-05-32-38-565000,pick_place_div_scene,pick place play data with large task variations,2619,2859,240,pick,blue screwdriver,left,plain,middle,diagonal,table,-,-,-,-,-,-,Pick up the blue screwdriver from the table with the left hand at a diagonal angle grasping the middle.
2026-03-03-05-32-38-565000,pick_place_div_scene,pick place play data with large task variations,2859,2958,99,place,blue screwdriver,left,-,-,-,-,inside,beige bowl,inside,bottom_left,none,none,Place the blue screwdriver inside the beige bowl with the left hand facing bottom left with the tip as the reference point.
2026-03-03-05-32-38-565000,pick_place_div_scene,pick place play data with large task variations,2958,3000,42,return,-,left,-,-,-,-,-,-,-,-,-,-,Return to home with the left hand.
2026-03-03-05-35-22-081000,pick_place_div_scene,pick place play data with large task variations,0,201,201,pick,bowl,left,lip,left,diagonal,table,-,-,-,-,-,-,Pick up the bowl from the table with the left hand using a diagonal lip grasp at the left side.
2026-03-03-05-35-22-081000,pick_place_div_scene,pick place play data with large task variations,201,264,63,dump,screwdriver,left,-,-,-,-,between,table between the plate,none,none,none,none,Dump the screwdriver on the table between the plate and canister with the left hand.
2026-03-03-05-35-22-081000,pick_place_div_scene,pick place play data with large task variations,264,390,126,place,bowl,left,-,-,-,-,left,green bag of chips,left,none,none,none,Put the bowl to the left side of the green bag of chips with the left hand.
2026-03-03-05-35-22-081000,pick_place_div_scene,pick place play data with large task variations,390,606,216,pick,bowl,left,lip,right,diagonal,table,-,-,-,-,-,-,Pick up the bowl from the table with the left hand using a diagonal lip grip at the right side.
2026-03-03-05-35-22-081000,pick_place_div_scene,pick place play data with large task variations,606,753,147,place,bowl,left,-,-,-,-,front,screwdriver,front,none,none,none,Put the bowl in front of the screwdriver with the left hand.
2026-03-03-05-35-22-081000,pick_place_div_scene,pick place play data with large task variations,753,1023,270,pick,canister,right,plain,middle,diagonal,table,-,-,-,-,-,-,Pick up the canister from the table with the right hand at a diagonal angle grasping the middle.
2026-03-03-05-35-22-081000,pick_place_div_scene,pick place play data with large task variations,1023,1122,99,place,white cup,right,-,-,-,-,inside,bowl,inside,none,down,none,Put the white cup inside the bowl with the right hand upside down.
2026-03-03-05-35-22-081000,pick_place_div_scene,pick place play data with large task variations,1122,1362,240,pick,screwdriver,left,plain,middle,diagonal,table,-,-,-,-,-,-,Pick up the screwdriver from the table with the left hand at a diagonal angle grasping the middle.
2026-03-03-05-35-22-081000,pick_place_div_scene,pick place play data with large task variations,1362,1488,126,place,screwdriver,left,-,-,-,-,inside,bowl,inside,bottom_left,none,none,Place the screwdriver inside the bowl with the left hand facing bottom left by the tip.
2026-03-03-05-35-22-081000,pick_place_div_scene,pick place play data with large task variations,1488,1800,312,pick,cabbage,right,plain,middle,diagonal,table,-,-,-,-,-,-,Pick up the cabbage from the table with the right hand at a diagonal angle grasping the middle.
2026-03-03-05-35-22-081000,pick_place_div_scene,pick place play data with large task variations,1800,1953,153,place,cabbage,right,-,-,-,-,right,plate,right,forwards,none,none,Put the cabbage to the right side of the plate with the right hand facing forwards with the tip as the orientation reference point.
2026-03-03-05-35-22-081000,pick_place_div_scene,pick place play data with large task variations,1952,2190,238,pick,bag of chips,left,side,bottom,diagonal,table,-,-,-,-,-,-,Pick up the bag of chips from the table with the left hand using a side grip at the bottom diagonally.
2026-03-03-05-35-22-081000,pick_place_div_scene,pick place play data with large task variations,2190,2343,153,place,bag of chips,left,-,-,-,-,left,bowl,left,none,down,none,Put the bag of chips to the left of the bowl with the left hand upside down.
2026-03-03-05-35-22-081000,pick_place_div_scene,pick place play data with large task variations,2343,2553,210,pick,plate,left,lip,left,diagonal,table,-,-,-,-,-,-,Pick up the plate from the table with the left hand using a diagonal lip grasp on the left.
2026-03-03-05-35-22-081000,pick_place_div_scene,pick place play data with large task variations,2553,2694,141,place,plate,left,-,-,-,-,right,cabbage,right,none,up,none,Place the plate to the right side of the cabbage with the left hand right side up with the front as the orientation reference point.
